n_vertices,n_edges,edge_percentage,exact_size,exact_operations,exact_configs,exact_time,greedy_size,greedy_operations,greedy_time,precision
4,3,0.125,2,17,6,1.4781951904296875e-05,2,8,9.298324584960938e-06,1.0
4,3,0.25,2,18,6,1.3828277587890625e-05,2,8,8.821487426757812e-06,1.0
4,3,0.5,2,13,5,1.6927719116210938e-05,2,8,8.58306884765625e-06,1.0
4,4,0.75,1,11,4,1.0728836059570312e-05,1,4,5.7220458984375e-06,1.0
5,4,0.125,2,17,7,1.4066696166992188e-05,2,10,9.059906005859375e-06,1.0
5,4,0.25,2,18,8,1.3828277587890625e-05,3,15,2.6464462280273438e-05,0.6666666666666666
5,5,0.5,2,24,9,2.6702880859375e-05,2,10,1.2159347534179688e-05,1.0
5,7,0.75,1,15,4,1.3113021850585938e-05,1,5,7.867813110351562e-06,1.0
6,5,0.125,2,48,14,2.5033950805664062e-05,2,12,1.1205673217773438e-05,1.0
6,5,0.25,2,44,21,2.4318695068359375e-05,3,18,1.3113021850585938e-05,0.6666666666666666
6,7,0.5,2,35,12,1.9550323486328125e-05,2,12,1.0728836059570312e-05,1.0
6,11,0.75,1,9,2,9.775161743164062e-06,1,6,7.62939453125e-06,1.0
7,6,0.125,3,88,31,3.910064697265625e-05,3,21,1.6450881958007812e-05,1.0
7,7,0.25,3,120,36,4.2438507080078125e-05,4,28,1.621246337890625e-05,0.75
7,10,0.5,2,36,9,2.09808349609375e-05,2,14,1.3113021850585938e-05,1.0
7,15,0.75,1,7,1,9.298324584960938e-06,1,7,9.298324584960938e-06,1.0
8,7,0.125,3,161,52,5.888938903808594e-05,3,24,1.6689300537109375e-05,1.0
8,7,0.25,3,93,39,5.602836608886719e-05,3,24,1.8596649169921875e-05,1.0
8,15,0.5,2,51,18,2.5272369384765625e-05,2,16,1.5020370483398438e-05,1.0
8,21,0.75,2,39,9,2.4080276489257812e-05,2,16,2.3603439331054688e-05,1.0
9,8,0.125,3,207,84,8.368492126464844e-05,3,27,2.0742416381835938e-05,1.0
9,10,0.25,3,208,80,8.487701416015625e-05,3,27,1.7404556274414062e-05,1.0
9,18,0.5,2,31,11,2.0265579223632812e-05,2,18,1.7404556274414062e-05,1.0
9,27,0.75,2,53,11,2.8848648071289062e-05,2,18,1.9788742065429688e-05,1.0
10,9,0.125,4,390,181,0.00015163421630859375,4,40,2.288818359375e-05,1.0
10,13,0.25,3,497,168,0.00018024444580078125,4,40,2.3365020751953125e-05,0.75
10,22,0.5,2,69,27,3.24249267578125e-05,2,20,1.7642974853515625e-05,1.0
10,33,0.75,2,45,11,2.9087066650390625e-05,2,20,1.8835067749023438e-05,1.0
11,10,0.125,4,913,315,0.00030422210693359375,5,55,2.574920654296875e-05,0.8
11,13,0.25,3,517,128,0.00017833709716796875,3,33,2.002716064453125e-05,1.0
11,27,0.5,2,37,12,3.2901763916015625e-05,2,22,2.9802322387695312e-05,1.0
11,41,0.75,1,47,8,2.7418136596679688e-05,1,11,1.1920928955078125e-05,1.0
12,11,0.125,5,2414,845,0.0007660388946533203,6,72,3.1948089599609375e-05,0.8333333333333334
12,16,0.25,3,284,94,0.00012421607971191406,3,36,3.790855407714844e-05,1.0
12,33,0.5,2,83,21,4.1484832763671875e-05,2,24,2.3126602172851562e-05,1.0
12,49,0.75,1,31,7,2.3126602172851562e-05,1,12,4.172325134277344e-05,1.0
13,13,0.125,5,4577,1417,0.001332998275756836,5,65,3.123283386230469e-05,1.0
13,20,0.25,4,1638,602,0.0005424022674560547,4,52,4.220008850097656e-05,1.0
13,39,0.5,2,50,19,3.147125244140625e-05,2,26,2.7179718017578125e-05,1.0
13,58,0.75,2,67,15,3.790855407714844e-05,2,26,3.647804260253906e-05,1.0
